external-hard-drive,cpu,wired-network-card,webcam,internal-hard-drive,case-accessory,memory,case,headphones,keyboard,fan-controller,optical-drive,os,sound-card,mouse,wireless-network-card,thermal-paste,speakers,power-supply,video-card,cpu-cooler,ups,motherboard,case-fan,monitor
,AMD Sempron 145,,,Kingston KC600,,G.Skill Trident Z5 RGB 32 GB,Silverstone FARA R1,KRK KNS-8400,Ducky One 3 Matcha,,,,,Gear Head MP2425PUR,,,,SeaSonic PRIME Ultra Titanium,XFX RX-79XMBABF9,Cooler Master Hyper 103,,Asus PRIME B760M-K D4,Corsair SP120 High Performance,LG 24MP59G-P
,AMD FX-6200,,,Western Digital Blue,,G.Skill Ripjaws S5 32 GB,Fractal Design Node 202,Audiovox 808-HPA88WHG,Corsair K60 RGB Pro,,,,,Logitech 910-002708,,,,Antec Signature Platinum,Inno3D X3 OC,NZXT Kraken X31,,Asus ROG STRIX B560-G GAMING WIFI,Corsair SP120 High Performance,Acer XV272U KFbmiipruzx
,AMD A4-4000,,,Patriot Burst Elite,,Kingston FURY Beast 64 GB,In Win 503,Audiovox ARW300,Logitech K200,,,,,A4Tech G10-770H,,,,Corsair RM850i,MSI SUPRIM,Tempest Subzero RGB,,Gigabyte B550M AORUS ELITE AX,ARCTIC F Silent,Acer XZ396QU Pwmiipphx
,AMD Athlon X4 750K,,,Addlink S95,,Kingston FURY Beast 16 GB,HYTE Y60 Hakos Baelz,Astro A40,Razer Blackwidow Ultimate Dragon Age II Edition,,,,,Kensington K72421AM,,,,Silverstone TX500-G,MSI ARMOR OC,Asus ROG STRIX LC 240 RGB,,Asus PRIME B450M-K,ARCTIC P8 PST,KTC M27P20 Pro
,Intel Core i3-4360,,,Western Digital WD Blue,,Kingston FURY Beast 64 GB,be quiet! Silent Base 802,Astro A50 - Black,Razer Lycosa,,,,,Mionix NAOS 8200,,,,Thermaltake Toughpower GF1 ARGB,Zotac GAMING Twin Fan,Silverstone AR12 RGB,,Gigabyte X570 AORUS ULTRA,MagniumGear Skiron,Samsung S30B
,AMD FX-8370E,,,Western Digital Gold,,Gigabyte AORUS RGB 16 GB,Thermaltake Core P6,Corsair Vengeance 1500,Razer BlackWidow Ultimate,,,,,Corsair Raptor M4,,,,Corsair VS600 (2020),Gigabyte EAGLE,ARCTIC Liquid Freezer II 280 RGB,,Gigabyte B660 GAMING X DDR4,BitFenix Spectre,Philips 276E8VJSB
,Intel Core i5-4670S,,,Crucial BX500,,G.Skill Trident Z RGB 256 GB,Fractal Design Define Nano S,Creative Labs Sound Blaster Tactic 3D Alpha,Razer TRON,,,,,Mad Catz M.M.O. 7,,,,SeaSonic S12III,Gigabyte GAMING,Mars Gaming MCPU-XT,,ASRock Z590 Steel Legend WiFi 6E,Thermaltake Pure,Dell U2720Q
,Intel Core i7-6900K,,,Seagate IronWolf NAS,,TEAMGROUP T-Force Vulcan 32 GB,iBuypower ARC 647 CASE,Creative Labs Sound Blaster EVO,Cooler Master Storm QuickFire Rapid,,,,,Mad Catz R.A.T. 9,,,,Phanteks AMP,AMD 100-438378,Deepcool GAMMAXX GT,,Asus PRIME H310M-K,Corsair AF120,ViewSonic VX2768-2KP-MHD OMNI
,Intel Pentium G4560T,,,Western Digital Ultrastar DC HC550,,G.Skill Trident Z5 RGB 32 GB,In Win BQ656T.AD150TB3,Razer Megalodon,Corsair Vengeance K60,,,,,AZIO Levetron,,,,In Win IP-S200DF1-0,Gigabyte EAGLE,Asus ROG STRIX LC 360 RGB,,Gigabyte Z390 AORUS ELITE,Corsair HD120,ViewSonic ELITE XG270QG
,Intel Pentium Gold G5600,,,TEAMGROUP T-Force Cardea A440 Pro,,Corsair Dominator Platinum RGB 32 GB,HYTE Y60 Ouro Kronii,Razer Banshee StarCraft II Heart of the Swarm,SteelSeries Merc Stealth,,,,,AZIO Levetron,,,,NZXT C (2019),MSI RTX 4090 GAMING X TRIO CLASSIC 24G,Jonsbo HX6200D,,Gigabyte Z390 AORUS ULTRA,Corsair SP120 High Performance,Dell E170S
